epoch,accuracy,loss
0,0.030818957835435867,7.54428243637085
1,0.031182993203401566,7.329831600189209
2,0.031351011246442795,7.317995071411133
3,0.03136301040649414,7.312518119812012
4,0.03141901642084122,7.276822566986084
5,0.031595032662153244,7.265697956085205
6,0.031595032662153244,7.265329837799072
7,0.031595032662153244,7.263071537017822
8,0.031595032662153244,7.262618541717529
9,0.031595032662153244,7.262518405914307
10,0.031595032662153244,7.262495994567871
11,0.031595032662153244,7.262495040893555
12,0.031595032662153244,7.262499809265137
13,0.031595032662153244,7.262498378753662
14,0.031595032662153244,7.262495517730713
15,0.031595032662153244,7.262491703033447
16,0.031595032662153244,7.262491226196289
17,0.031595032662153244,7.2624921798706055
18,0.031595032662153244,7.262487411499023
19,0.031595032662153244,7.262490749359131
20,0.031595032662153244,7.26249885559082
21,0.031595032662153244,7.262486934661865
22,0.031595032662153244,7.262485980987549
23,0.031595032662153244,7.262500286102295
24,0.031595032662153244,7.262487411499023
25,0.031595032662153244,7.262484550476074
26,0.031595032662153244,7.2624945640563965
27,0.031595032662153244,7.2624921798706055
28,0.031595032662153244,7.262494087219238
29,0.031595032662153244,7.262491703033447
30,0.031595032662153244,7.262486934661865
