epoch,accuracy,loss
0,0.03141901642084122,10.400348663330078
1,0.031595032662153244,10.388968467712402
2,0.031595032662153244,10.377544403076172
3,0.031595032662153244,10.370646476745605
4,0.031595032662153244,10.369285583496094
5,0.031595032662153244,10.369009971618652
6,0.031595032662153244,10.3689546585083
7,0.031595032662153244,10.368947982788086
8,0.031595032662153244,10.368936538696289
9,0.031595032662153244,10.368935585021973
10,0.031595032662153244,10.368937492370605
11,0.031595032662153244,10.36893367767334
12,0.031595032662153244,10.368950843811035
13,0.031595032662153244,10.368936538696289
14,0.031595032662153244,10.368932723999023
15,0.031595032662153244,10.368938446044922
16,0.031595032662153244,10.368951797485352
17,0.031595032662153244,10.368951797485352
18,0.031595032662153244,10.368949890136719
19,0.031595032662153244,10.368937492370605
